ID,Title,Year,Venue,PlatformType_R1,PlatformType_R2,ApplicationDomain_R1,ApplicationDomain_R2,AgentRole_R1,AgentRole_R2,EvaluationMethod_R1,EvaluationMethod_R2,Challenges_R1,Challenges_R2
95,Parallel Transportation in TransVerse: From Foundation Models to DeCAST,2023,IEEE Transactions on Intelligent Transportation Systems,Simulation Platform,Metaverse,Traffic and Intelligent Systems,Traffic and Intelligent Systems,Decision and Management,Decision and Management,Quantitative Analysis,Quantitative Analysis,Data and Models,Data and Models
96,Privacy-Preserving Platooning Control of Vehicular Cyber–Physical Systems With Saturated Inputs,2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",Simulation Platform,Simulation Platform,Traffic and Intelligent Systems,Traffic and Intelligent Systems,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Analysis,Blockchain and Security,Blockchain and Security
97,Proposta de Agente autônomo utilizando as técnicas de mineração de processos em uma Arquitetura Virtual baseada em Sistemas Multiagentes,2021,14th IEEE International Conference on Industry Applications,Simulation Platform,Simulation Platform,Multi-Agent System and Reinforcement Learning,Multi-Agent System and Reinforcement Learning,Decision and Management,Decision and Management,Case Analysis,Case Analysis,Computing and Resource Management,Computing and Resource Management
98,"Prospects for multi-agent collaboration and gaming: challenge, technology, and application",2022,Frontiers of Information Technology & Electronic Engineering,Simulation Platform,Simulation Platform,Multi-Agent System and Reinforcement Learning,Multi-Agent System and Reinforcement Learning,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Analysis,Metaverse,Metaverse
99,QoE-Oriented Cooperative VR Rendering and Dynamic Resource Leasing in Metaverse,2025,IEEE Transactions On Mobile Computing,Infrastructure,VR/AR,Artificial Intelligence,Artificial Intelligence,IoT Industrial,Social Interaction,Comparative Analysis,Case Analysis,Metaverse,Metaverse
100,QoI-Aware Mobile Crowdsensing for Metaverse by Multi-Agent Deep Reinforcement Learning,2023,IEEE Journal On Selected Areas In Communications,Infrastructure,Infrastructure,Artificial Intelligence,Artificial Intelligence,Network Infrastructure,Environment and Physical,Quantitative Metrics,Quantitative Metrics,Models,Models
101,Quantum Reinforcement Learning for Spatio-Temporal Prioritization in Metaverse,2024,IEEE Access,Metaverse,Metaverse,AI and Machine Learning,AI and Machine Learning,Decision and Management,Communication and Computing,Quantitative Analysis,Quantitative Analysis,Computing and Resource Management,Computing and Resource Management
102,Quantum-enhanced Federated Learning for Metaverse-empowered Vehicular Networks,2024,IEEE Transactions On Communications,Simulation,Simulation,Simulation,Simulation,Network Infrastructure,Network Infrastructure,Quantitative Metrics,Quantitative Metrics,Models,Metaverse
103,Reputation-Based Trust Assessment of Transacting Service Components,2023,IEEE Conference On Computer Software And Applications,Simulation,Simulation,Artificial Intelligence,Edge-Cloud Collaboration,Digital Twin,Communication and Computing,Case Studies,Case Studies,Metaverse,Metaverse
104,Research on Intelligent Applications of Metaverse Battlefield for Human-Computer Interaction,2024,Internal Technical Report,Simulation,Simulation,Simulation,Simulation,Social Interaction,Social Interaction,Comparative Analysis,Comparative Analysis,Network,Network
105,Resource Allocation and QoE Maximization in Aerial MEC-empowered Metaverse Service: A CCM-Multi-agent DRL approach,2024,IEEE Global Communications Conference,Infrastructure,Infrastructure,Industrial Systems,Communication Network and IoT,Learning,Learning,Comparative Analysis,Comparative Analysis,Resource Management,Computing and Resource Management
106,Resource Allocation for Metaverse Experience Optimization: A Multi-Objective Multi-Agent Evolutionary Reinforcement Learning Approach,2025,IEEE Transactions On Mobile Computing,Infrastructure,Infrastructure,Industrial Systems,Industrial Systems,Transportation,Digital Twin,Comparative Analysis,Comparative Analysis,Resource Management,Resource Management
107,Robotics in Metaverse,2025,Human-Centered Metaverse,VR/AR,VR/AR,Digital Twin and Metaverse,Digital Twin and Metaverse,Terminals and Devices,Terminals and Devices,Case Analysis,Case Analysis,Metaverse,Metaverse
108,Scalable Consensus Over Finite Capacities in Multiagent IoT Ecosystems,2023,IEEE Internet Of Things Journal,Infrastructure,Infrastructure,Industrial Systems,Industrial Systems,Transportation,Transportation,Theoretical Analysis,Theoretical Analysis,Multi-Agent Collaboration,Multi-Agent Collaboration
109,Securing Distributed Computing in the Metaverse: A Balanced TGDH Encryption Scheme,2023,IEEE International Conference on Metaverse Computing,Blockchain,Blockchain,Blockchain,Blockchain,Transportation,Transportation,Theoretical Analysis,Theoretical Analysis,Network,Network
110,Securing the Metaverse: The Intersection of ML-Based Oracles and Blockchain Technology,2024,International Conference On Intelligent Metaverse Technologies & Applications,Blockchain,Blockchain,Artificial Intelligence,Artificial Intelligence,Transportation,Transportation,Quantitative Metrics,Quantitative Metrics,Models,Models
111,Semantic Information Marketing in the Metaverse: A Learning-Based Contract Theory Framework,2024,IEEE Journal On Selected Areas In Communications,Infrastructure,Infrastructure,Artificial Intelligence,Artificial Intelligence,Transportation,Digital Twin,Comparative Analysis,Comparative Analysis,Network,Network
112,Semantic-Aware Blockchain Architecture Design for Edge-enabled Metaverse,2023,"2023 IEEE 14th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)",Simulation Platform,Digital Twin,Digital Twin and Metaverse,Multi-Agent System and Reinforcement Learning,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Analysis,Computing and Resource Management,Computing and Resource Management
113,Sharing Traffic Priorities via Cyber–Physical–Social Intelligence: A Lane-Free Autonomous Intersection Management Method in Metaverse,2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",Simulation Platform,Simulation Platform,Transportation and Intelligent Systems,Transportation and Intelligent Systems,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Analysis,Multi-Agent Collaboration,Models
114,Smart Farm Security by Combining IoT Sensor Network and Virtualized Mycelium Network,2023,Sensors,Infrastructure,Infrastructure,Industrial Systems,Social Computing,Transportation,Terminals and Devices,Quantitative Metrics,Quantitative Metrics,Network,Network
115,Spatio-Temporal Multi-Metaverse Dynamic Streaming for Hybrid Quantum-Classical Systems,2024,IEEE Transactions On Networking,Blockchain,Blockchain,Artificial Intelligence,Artificial Intelligence,Transportation,Transportation,Comparative Analysis,Comparative Analysis,Resource Management,Resource Management
116,Swarm Metaverse for Multi-Level Autonomy Using Digital Twins,2023,Sensors,Simulation Platform,Simulation Platform,Multi-Agent System and Reinforcement Learning,Multi-Agent System and Reinforcement Learning,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Analysis,Blockchain and Security,Blockchain and Security
117,Technology for Synergistic Solutions Co-Creation Based on Multi-Agents’ Diversities Interaction,2023,Information Technology And Implementation,Simulation,Simulation,Artificial Intelligence,Artificial Intelligence,Digital Twin,Digital Twin,Quantitative Metrics,Quantitative Metrics,Multi-Agent Collaboration,Multi-Agent Collaboration
118,The 3rd International Workshop on Deep Learning for the Web of Things,2023,ACM Web Conference,Blockchain,Blockchain,Industrial Systems,Artificial Intelligence,Social Interaction,Social Interaction,Case Studies,Case Studies,Metaverse,Models
119,The impact of eye gaze on social interactions of females in virtual reality: The mediating role of the uncanniness of avatars and the moderating role of task type,2023,Heliyon,Social,Social,Social Computing,Social Computing,Social Interaction,IoT Industrial,Quantitative Metrics,Quantitative Metrics,Metaverse,Metaverse
120,The Matrix: Quantum AI for Interacting Two Worlds in Prioritized Metaverse Spaces,2024,IEEE Communications Magazine,Simulation Platform,Simulation Platform,Digital Twin and Metaverse,Digital Twin and Metaverse,Terminals and Devices,Terminals and Devices,Quantitative Analysis,Quantitative Analysis,Metaverse,Metaverse
121,"The Simulation Methods in Library and Information Science: Method, Application and Future Directions",2022,Knowledge Of Library And Information Science,Simulation,Simulation,Social Computing,Social Computing,Social Interaction,Social Interaction,Theoretical Analysis,Theoretical Analysis,Metaverse,Metaverse
122,The Transformation of the New Media Communication Paradigm in the Metaverse Era and Blockchain Based on the Topological Characteristics of Information Communication,2024,International Journal Of Web Services Research,Blockchain,Blockchain,Blockchain,Blockchain,Social Interaction,Social Interaction,Case Studies,Quantitative Analysis,Network,Network
123,Tiny Multiagent DRL for Twins Migration in UAV Metaverses: A Multileader Multifollower Stackelberg Game Approach,2024,IEEE Internet Of Things Journal,Infrastructure,Infrastructure,Artificial Intelligence,Blockchain,Network Infrastructure,Network Infrastructure,Comparative Analysis,Comparative Analysis,Network,Network
124,TMETA: Trust Management for the Cold Start of IoT Services With Digital-Twin-Aided Blockchain,2023,IEEE IOT Journal,Blockchain,Blockchain,Communication Network and IoT,Communication Network and IoT,Decision and Management,Decision and Management,Quantitative Analysis,Simulation-Based,Blockchain and Security,Blockchain and Security
125,Toward Human Digital Twins for Cybersecurity Simulations on the Metaverse: Ontological and Network Science Approach,2022,Jmirx Med,Simulation,Simulation,Artificial Intelligence,Artificial Intelligence,Social Interaction,Social Interaction,Case Studies,Quantitative Metrics,Metaverse,Metaverse
126,Towards defining industry 5.0 vision with intelligent and softwarized wireless network architectures and services: A survey,2024,Journal of Network and Computer Applications,Simulation Platform,Blockchain,AI and Machine Learning,AI and Machine Learning,Decision and Management,Decision and Management,Case Analysis,Case Studies,Communication and Network,Communication and Network
127,Towards Diverse Non-Player Character Behaviour Discovery in Multi-Agent Environments,2024,IEEE Conference on Games (CoG),Simulation Platform,Simulation Platform,Multi-Agent System and Reinforcement Learning,Multi-Agent System and Reinforcement Learning,Virtual and Digital,Virtual and Digital,Quantitative Analysis,Quantitative Analysis,Data and Models,Data and Models
128,Towards parallel Metaverse: symbiosis of physical and virtual worlds based on Cybertwin-enabled 6G,2025,Digital Communications And Networks,Infrastructure,Edge-Cloud,Industrial Systems,Industrial Systems,Transportation,Transportation,Quantitative Metrics,Quantitative Metrics,Network,Computing and Resource Management
129,Two-Timescale Synchronization and Migration for Digital Twin Networks: A Multi-Agent Deep Reinforcement Learning Approach,2024,IEEE Transactions on Wireless Communications,Simulation Platform,Simulation Platform,Digital Twin and Metaverse,Digital Twin and Metaverse,Decision and Management,Virtual and Digital,Quantitative Analysis,Quantitative Analysis,Communication and Network,Communication and Network
130,UAV-Assisted Dynamic Avatar Task Migration for Vehicular Metaverse Services: A Multi-Agent Deep Reinforcement Learning Approach,2024,IEEE Journal Of Automatica Sinica,Infrastructure,Infrastructure,Artificial Intelligence,Artificial Intelligence and Machine Learning,Network Infrastructure,Terminals and Devices,Comparative Analysis,Comparative Analysis,Resource Management,Resource Management
131,Understanding the Interplay of Model Complexity and Fidelity in Multiagent Systems via an Evolutionary Framework,2017,IEEE Transactions On Computational Intelligence And Ai In Games,Simulation,Infrastructure,Simulation,Simulation,Social Interaction,Transportation,Quantitative Metrics,Quantitative Metrics,Resource Management,Resource Management
132,User Recommendation in Social Metaverse with VR,2022,Proceedings of the 31st ACM International Conference on Information and Knowledge Management (CIKM ’22),VR/AR,Simulation,Digital Twin and Metaverse,Digital Twin and Metaverse,Virtual and Digital,Network Infrastructure,Quantitative Analysis,Quantitative Analysis,Metaverse,Metaverse
133,Vectorial-Opinion Dynamics With Familiarity Neighborhoods in Virtual Social Groups,2022,IEEE Transactions On Computational Social Systems,Social,Social,Social Computing,Artificial Intelligence and Machine Learning,Social Interaction,Social Interaction,Quantitative Metrics,Quantitative Metrics,Network,Network
134,Virtual Cities: From Digital Twins to Autonomous AI Societies,2025,IEEE Access,Simulation,Simulation,Simulation,Simulation,Digital Twin,IoT Industrial,Case Studies,Case Studies,Metaverse,Metaverse
135,VRRC: Empowering Metaverse-Infused Driving Experience for Multiplatoon Vehicles Through IoRT,2024,IEEE Internet Of Things Journal,Simulation,Simulation,Artificial Intelligence,Artificial Intelligence,Network Infrastructure,Learning,Quantitative Metrics,Quantitative Metrics,Network,Blockchain and Security
136,When Metaverses Meet Vehicle Road Cooperation: Multiagent DRL-Based Stackelberg Game for Vehicular Twins Migration,2024,IEEE Internet Of Things Journal,Infrastructure,Social,Industrial Systems,Industrial Systems,Transportation,Terminals and Devices,Comparative Analysis,Comparative Analysis,Network,Network
137,Where is the research on connecting game worlds?—A systematic mapping study,2015,Computer Science Review,Metaverse,Metaverse,Digital Twin and Metaverse,Digital Twin and Metaverse,Multi-Agent System,Multi-Agent System,Case Analysis,Case Analysis,Metaverse,Metaverse
