Article_Number,Title,Abstract,Keywords,ChatGPT,DeepSeek,Sum
306,Efficient Twin Migration in Vehicular Metaverses: Multi-Agent Split Deep Reinforcement Learning with Spatio-Temporal Trajectory Generation,"Vehicle Twins (VTs) as digital representations of vehicles can provide users with immersive experiences in vehicular metaverse applications, e.g., Augmented Reality (AR) navigation and embodied intelligence. VT migration is an effective way that migrates the VT when the locations of physical entities keep changing to maintain seamless immersive VT services. However, an efficient VT migration is challenging due to the rapid movement of vehicles, dynamic workloads of Roadside Units (RSUs), and heterogeneous resources of the RSUs. To achieve efficient migration decisions and a minimum latency for the VT migration, we propose a multi-agent split Deep Reinforcement Learning (DRL) framework combined with spatio-temporal trajectory generation. In this framework, multiple split DRL agents utilize split architecture to efficiently determine VT migration decisions. Furthermore, we propose a spatio-temporal trajectory generation algorithm based on trajectory datasets and road network data to simulate vehicle trajectories, enhancing the generalization of the proposed scheme for managing VT migration in dynamic network environments. Finally, experimental results demonstrate that the proposed scheme not only enhances the Quality of Experience (QoE) by 29% but also reduces the computational parameter count by approximately 25% while maintaining similar performances, enhancing users' immersive experiences in vehicular metaverses.  © 2002-2012 IEEE.",deep reinforcement learning; Digital Twins; service migration; vehicular metaverse,1,1,2.0
318,Environmental Cognition-Driven Hierarchical Decision-Making for Air-Ground Collaborative Communication,"The unparalleled communication and sensing capabilities of the 6th generation (6G) networks can fulfill the diverse requirements of emerging scenarios like the metaverse. However, several issues such as queue transmission between numerous heterogeneous nodes and difficulties in understanding complex and dynamic environments from high-level cognition urgently need to be addressed. In response, this paper proposes an environmental cognition-driven method based on graph convolutional networks (GCNs), which comprehensively considers node positions, task queues, and frequency conflicts, then optimizing node clustering to cope with complex and dynamic electromagnetic environments. In the meanwhile, to overcome the limitations of conventional reinforcement learning (RL) methods in addressing the increasing complexities of multi-task and multi-granularity decision-making, a hierarchical reinforcement learning (HRL) method based on the actor-critic (AC) framework is proposed to quick decision-making for air-ground collaborative communication. Numerical results demonstrate that the proposed environmental cognition-driven hierarchical decision-making method can reduce redundant interactions among nodes and improve the transmission rate.  © 2024 IEEE.",air-ground collaborative communication; environmental cognition-driven; graph convolutional network; hierarchical reinforcement learning; multi-agent spectrum allocation,1,0.5,1.5
332,Enabling the Wireless Metaverse via Semantic Multiverse Communication,"Metaverse over wireless networks is an emerging use case of the sixth generation (6G) wireless systems, posing unprecedented challenges in terms of its multi-modal data transmissions with stringent latency and reliability requirements. Towards enabling this wireless metaverse, in this article we propose a novel semantic communication (SC) framework by decomposing the metaverse into human/machine agent-specific semantic multiverses (SMs). An SM stored at each agent comprises a semantic encoder and a generator, leveraging recent advances in generative artificial intelligence (AI). To improve communication efficiency, the encoder learns the semantic representations (SRs) of multi-modal data, while the generator learns how to manipulate them for locally rendering scenes and interactions in the metaverse. Since these learned SMs are biased towards local environments, their success hinges on synchronizing heterogeneous SMs in the background while communicating SRs in the foreground, turning the wireless metaverse problem into the problem of semantic multiverse communication (SMC). Based on this SMC architecture, we propose several promising algorithmic and analytic tools for modeling and designing SMC, ranging from distributed learning and multi-agent reinforcement learning (MARL) to signaling games and symbolic AI. © 2023 IEEE.",extended reality (XR); federated learning; Metaverse; multi-agent reinforcement learning; semantic communication; signaling game; split learning; symbolic artificial intelligence,1,1,2.0
237,Federated Learning for improved prediction of failures in Autonomous Guided Vehicles,"Autonomous Guided Vehicles (AGVs) are nowadays an indispensable component of production lines in smart manufacturing. Managing the fleet of AGVs covers not only the delegation of operational tasks but also the monitoring of AGVs activity and health condition by applying tailored Machine Learning-based methods to detect anomalies in various signals gathered by edge IoT devices mounted on board. Detecting anomalies requires appropriate prediction of selected signals based on multiple types of sensor readings. Momentary energy consumption is one of the signals that can indicate abnormal states in AGVs. In this paper, we show that the prediction of this signal can be improved with the Federated Learning (FL) approach that involves exchanging experience gained by particular AGVs. This paper significantly extends the conference paper (Shubyn et al., 2022) with the new multi-round approach to building global prediction models and recent experiments on real data streams produced by AGVs designed by the AIUT company. The results of our experiments prove that in the AGV operational environments with distributed knowledge Federated Learning performs better than traditional centralized approaches and that frequent synchronization of experience may lead to better prediction quality.","Federated Learning, Autonomous Guided Vehicles, Smart manufacturing, Prediction, Industry 4.0",1,0.5,1.5
042,Human-Centric Resource Allocation for the Metaverse With Multiaccess Edge Computing,"Multiaccess edge computing (MEC) is a promising solution to the computation-intensive, low-latency rendering tasks of the metaverse. However, how to optimally allocate limited communication and computation resources at the edge to a large number of users in the metaverse is quite challenging. In this article, we propose an adaptive edge resource allocation method based on multiagent soft actor–critic with graph convolutional networks (SAC-GCN). Specifically, SAC-GCN models the multiuser metaverse environment as a graph where each agent is denoted by a node. Each agent learns the interplay between agents by graph convolutional networks with a self-attention mechanism to further determine the resource usage for one user in the metaverse. The effectiveness of SAC-GCN is demonstrated through the analysis of user experience, balance of resource allocation, and resource utilization rate by taking a virtual city park metaverse as an example. Experimental results indicate that SAC-GCN outperforms other resource allocation methods in improving overall user experience, balancing resource allocation, and increasing resource utilization rate by at least 27%, 11%, and 8%, respectively.",Attention mechanism;extended reality (XR);graph convolutional network;multiagent reinforcement learning,1,1,2.0
089,Hierarchical Deep Reinforcement Learning With Experience Sharing for Metaverse in Education,"Metaverse has gained increasing interest in education, with much of literature focusing on its great potential to enhance both individual and social aspects of learning. However, little work has been done to address the systems and technologies behind providing meaningful Metaverse learning. This article proposes a technical framework to address this research gap, where a hierarchical multiagent reinforcement learning approach with experience sharing is developed to augment the intelligence of nonplayer characters in Metaverse learning for personalization. The utility and benefits of the proposed framework and methodologies are demonstrated in Gridlock, a Metaverse learning game, as well as through extensive simulations.",ACP;experience sharing;metaverse learning;reinforcement learning (RL),1,1,2.0
288,Human-Aware Dynamic Hierarchical Network Control for Distributed Metaverse Services,"Metaverse has emerged as a revolutionary technique for transforming the way people interact with digital content, which relies on a distributed computing and communication infrastructure, encompassing terminal users, edge servers, and cloud servers. However, the rapid evolution of the Metaverse presents challenges that surpass the capabilities of existing communication and network infrastructures, particularly on network bandwidth and latency. Additionally, human experience becomes a critical factor in this domain. Therefore, we introduce a human-aware hierarchical software defined network (SDN) architecture consisting of a Metaverse cloud layer, a mobile edge computing (MEC) server empowered edge layer, and a distributed terminal layer. Each MEC server dynamically controls a multi-antenna base station (BS) and several reconfigurable intelligent surfaces (RISs) according to the terminal immersive experience requirements in real-time. To overcome the bandwidth limitation, we propose a novel smart reconfigurable spatial reuse new radio in unlicensed spectrum (NR-U) framework, which can realize customizable communications through flexibly and coordinately reconfiguring beams among the coordination between BSs and RISs. The objective function is formulated as a Lyapunov optimization based decentralized partially-observable Markov decision process (Dec-POMDP) problem to maximize the spectral efficiency while guaranteeing the latency and reliability requirements in Metaverse, via a joint user selection, phase-shift control, and beam coordination strategy. To solve the above non-convex, strongly coupled, and mixed integer nonlinear programming (MINLP), we propose a novel multi-agent hierarchical deep reinforcement learning (MAHDRL) algorithm that integrates deep Q-network (DQN) to solve discrete problems, deep deterministic policy gradient (DDPG) to solve continuous problems, and mixing network to capture complex interactions between multiple agents. Numerical results demonstrate the effectiveness of the proposed algorithm and verify the performance improvements compared to traditional multi-agent deep reinforcement learning (MADRL) algorithms.  © 1983-2012 IEEE.",distributed coordination; dynamic network control; Human-aware; metaverse; multi-agent; NR-U; RIS,1,1,2.0
011,Intelligent Objects to Facilitate Human Participation in Virtual Institutions,"Our research combines electronic institutions and 3D virtual worlds for the construction of virtual institutions which are virtual worlds with normative regulation of interactions. That is, a virtual world where participants actions have to comply with predefined institutional rules. In this context, the actions a participant may perform depend on the institutional rules and the current execution state. We propose to include iObjects, intelligent objects, as entities having both visualization properties and decision mechanisms in the virtual institution. They are a new key element to improve users participation in virtual institutions. We situate them in a middleware infrastructure in order to be independent of 3D virtual world platform and to provide a general solution in which participants could be connected from different immersive environment platforms.",virtual environments;normative multiagent systems;virtual institutions;intelligent objects,1,1,2.0
017,In The Truman Show: Generating Dynamic Scenarios in a Driving Simulator,"All the devices, animals, and people make their decisions based on what you're doing, but you don't know it or even notice it. Your world is that of Truman Burbank, from the 1998 movie The Truman Show. With this idea in mind, we've taken the movie metaphor to implement a prototype simulation system where the user steps into Truman's shoes. The set of our ""movie"" is a driving simulator, and the user is learning to drive a car. During the driving lessons, users drive in a virtual world that lets them experience all kinds of traffic scenarios. The system generates the scenarios with the student as the focal point, and the other traffic entities respond to the student's behavior, without the student noticing. To control the traffic scenarios and make them more effective, our prototype employs an agent-based framework. In this framework, each entity in the simulator is an actor agent playing a role. The prototype also includes a hierarchy of directors that directs the main action and the behind-the-scenes activity. The advantage of the movie metaphor is that it helps separate scenario description from scenario playing. The agents can read their required information from a script and perform their actions based on that information. Using this framework lets us build software that's extensible, maintainable, and easy to understand",multiagent systems;artificial intelligence;driving simulation,1,0.5,1.5
298,Improving End-To-End Latency Fairness Using a Reinforcement-Learning-Based Network Scheduler,"In services such as metaverse, which should provide a constant quality of service (QoS) regardless of the user’s physical location, the end-to-end (E2E) latency must be fairly distributed over any flow in the network. To this end, we propose a reinforcement learning (RL)-based scheduler for minimizing the maximum network E2E latency. The RL model used the double deep Q-network (DDQN) with the prioritized experience replay (PER). In order to see the performance change according to the type of RL agent, we implemented a single-agent environment where the controller is an agent and a multi-agent environment where each node is an agent. Since the agents were unable to identify E2E latencies in the multi-agent environment, the state and reward were formulated using the estimated E2E latencies. To precisely evaluate the RL-based scheduler, we set out benchmark algorithms to compare with which a network-arrival-time-based heuristic algorithm (NAT-HA) and a maximum-estimated-delay-based heuristic algorithm (MED-HA). The RL-based scheduler, first-in-first-out (FIFO), round-robin (RR), NAT-HA, and MED-HA were compared through large-scale simulations on four network topologies. The simulation results in fixed-packet generation scenarios showed that our proposal, the RL-based scheduler, achieved the minimization of maximum E2E latency in all the topologies. In other scenarios with random flow generation, the RL-based scheduler and MED-HA showed the lowest maximum E2E latency for all topologies. Depending on the topology, the maximum E2E latency of NAT-HA was equal to or larger than that of the RL-based scheduler. In terms of fairness, the RL-based scheduler showed a higher level of fairness than that of FIFO and RR. NAT-HA had similar or lower fairness than the RL-based scheduler depending on the topology, and MED-HA had the same level of fairness as the RL-based scheduler. © 2023 by the authors.",double-deep Q-learning; end-to-end latency; fairness; min-max criterion; prioritized experience replay; reinforcement learning,1,0.5,1.5
301,Joint Quantum Reinforcement Learning and Stabilized Control for Spatio-Temporal Coordination in Metaverse,"In order to build realistic metaverse systems, enabling high synchronization between physical-space and virtual meta-space is essentially required. For this purpose, this paper proposes a novel system-wide coordination algorithm for high synchronization under characteristics (i.e., highly realistic meta-space construction under the constraints of physical-space). The proposed algorithm consists of the following three stages. The first stage is quantum multi-agent reinforcement learning (QMARL)-based scheduling for low-delay temporal-synchronization using differentiated age-of-information (AoI) during data gathering in physical-space by observers for meta-space construction. This is beneficial for scalability according to action dimension reduction in reinforcement learning computation. The second stage is for creating virtual contents under delay constraints in meta-space based on the gathered data. When rendering regions that have received more user attention, avatar-popularity is considered for spatio-synchronization. Thus, a stabilized control mechanism is designed for time-average reality quality maximization for each region. The last stage is for caching based on avatar-popularity and AoI which can be helpful in constructing low-delay realistic meta-space. Furthermore, the concept of AoI is divided into two separate sub-concepts of physical AoI and virtual AoI such that the AoI in virtual meta-space can be thoroughly implemented.  © 2024 IEEE.",Age-of-Information; metaverse; quantum reinforcement learning; synchronization,1,1,2.0
007,Modeling spatial-temporal context information in virtual worlds,"Currently, we use many definitions with diffuse boundaries: Web 2.0 (Social Networks), Web 3.0 (Semantic Web), Web 3D (Metaverses, Virtual Worlds, Mirror Worlds), Recommendation Systems, Augmented Reality, Geo-location... In this paper we explore the possibilities of the combined use of these concepts, we introduce the concept of VARD (Virtual Augmented Reality Device) and show interoperability between recommendation systems and Virtual Worlds. We have developed a Recommendation System which have two ways of interaction with the virtual world of Second Life in connection with context spatial-temporal information: an active recommendation system, called TESLAR, that interacts with avatars by a 2D HUD VARD object, and a passive and automatic recommendation system, called MarvinBot, that interacts with avatars by a Metabot VARD.","virtual worlds, second life, recommendation systems, multiagent systems, mirror worlds, metaverses, metabots, intelligent agents, context information, augmented reality",1,0.5,1.5
014,Multirobot cooperation on virtual environment using Volunteer Based Cooperation Protocol,"We develop an experimental platform for heterogeneous multirobot cooperation which has both advantages of two evaluations means for multirobot cooperation, experiment with real robots and simulation. In this system, the real robots interact with the virtual environment and efficient evaluation of the multirobot cooperation in various kinds of work fields is possible. Volunteer Based Cooperation Protocol is proposed to reduce communication cost required in the multirobot cooperation.",multi-agent systems;multirobot cooperation;virtual environment system,1,0.5,1.5
027,MARL Sim2real Transfer: Merging Physical Reality With Digital Virtuality in Metaverse,"Metaverse is an artificial virtual world mapped from and interacting with the real world. In metaverse, digital entities coexist with their physical counterparts. Powered by deep learning, metaverse is inevitably becoming more intelligent in the interactions between reality and virtuality. However, it is confronted with a nontrivial problem known as sim2real transfer when deep learning techniques try to bridge the reality gap between the physical world and simulations. In this article, we use multiagent deep reinforcement learning (MARL) to implement collective intelligence for digital entities as well as their physical counterparts. To model the immersive environments in metaverse, we define a nonstationary variant of Markov games and propose a recurrent MARL solution to it. Based on the solution, MARL sim2real transfer that bridges real and virtual multiple unmanned aerial vehicle (multi-UAV) systems is successfully conducted by employing recurrent multiagent deep deterministic policy gradient (R-MADDPG) with the domain randomization technique. Additionally, we use perception-control modularization to improve the generalization performance of MARL policies and make training more efficient.",Metaverse;multiagent deep reinforcement learning (MARL);multiple unmanned aerial vehicle (multi-UAV) nonstationary Markov game;sim2real transfer,1,1,2.0
056,Mixed reality educational environment for robotics,"This work presents an operational setup for carrying out experiments in robotics using a mixed-reality approach. The objective of this setup is twofold, on one hand it aims to be a useful educational tool for teaching robotics and on the other it is a tool to help in the development and study of embodied evolution. The design represents an intermediate system between a real and a simulated scenario so as to work with real robots and to make easier and simpler the configuration and modification of the rest of the elements of the experiments. The present operational setup consists, mainly, of a video projector to represent the virtual elements projecting them over the arena of the experiment, a zenithal camera to capture the state of real elements moving on the arena, and a computer which monitors and controls the scenario. As a result, both real and virtual elements interact on the arena and their state is updated based on world rules of the experiment and on the state and actions of other elements. The scheme implemented in the main computer to control and structure this environment is based on the one proposed in a previous work for the definition of scenarios in a simulation environment named Waspbed, which was designed for the study of simulated coevolution processes in multiagent systems. Apart from the advantages provided in robotics research when large testing period times are required, this setup is used for getting students from engineering degrees used to deal with robotics and all its associated fields, such as artificial vision, evolutionary robotics, communication protocols, etc. in a very simple, quick and cheap way, which otherwise wouldn't be feasible taking into account the academic constraints of time and resources.",Learning environments;multirobots system;virtual environments;educational robotics;autonomous robotics;embodied evolution,1,0.5,1.5
103,MADRL-Based Joint Edge Caching and Bitrate Selection for Multicategory 360° Video Streaming,"360° video streaming has gained increasing attraction in the current popular virtual reality, AR, and MR applications, which can provide users with an immersive experience. In tile-based 360° video streaming, edge caching and bitrate selection strategies are jointly designed to improve users’ Quality of Experience (QoE), which incorporates video quality and rebuffer. However, the existing QoE-driven approaches use a unified QoE function to guide the decisions of edge caching and bitrate selection, which neglect the impact of video quality and rebuffer on different categories of 360° videos, thus failing to provide high-average QoE for users. In this article, we propose a multiagent deep-reinforcement-learning-based joint edge caching and bitrate selection strategy for multicategory 360° video streaming to improve users’ average QoE. The key idea is to employ different edge caching and bitrate selection strategies for different video categories to enable fine-grained performance optimization. Based on multicategory 360° video streaming, we first model a joint edge caching and bitrate selection problem as a multiagent cooperative Markov decision process with the goal of maximizing users’ average QoE. Next, an Field-of-View-aware multiagent soft actor–critic (FA-MASAC) algorithm is designed to help agents collaboratively learn optimal edge caching and bitrate selection decisions in a distributed way, in which each video category is treated as an agent. Finally, experimental results on real-world data sets show that our proposed strategy can greatly benefit users’ average QoE compared to existing strategies.",Bitrate selection;edge caching;multiagent deep reinforcement learning (MADRL);multicategory 360° video streaming;Quality of Experience (QoE),1,1,2.0
286,Metaversal intelligence: Unifying human-AI interactions in human-in-the-loop AIB-Metaverse,"The convergence of 6G and Web 3 technologies with the Metaverse necessitates user-centric, intelligent solutions to address challenges of adaptability, scalability, and efficiency in decentralized systems. This paper introduces the Human-AI Blockchain (HAIB) Metaverse architecture and the Intelligent Smart Contract (InSC) framework, which integrate Reinforcement Learning (RL) and extended stigmergy to optimize multi-agent interactions and enable dynamic, self-executing smart contracts. The HAIB architecture enhances human-AI collaboration through a human-in-the-loop approach, facilitating adaptive decision-making and efficient resource allocation. Serving as the cognitive core, the InSC framework combines dynamic environmental feedback with real-time data analytics to enable intelligent decision-making. Experimental evaluations demonstrate that the proposed framework reduces gas consumption by 32–33% while increasing cumulative rewards. These findings highlight the significant potential of intelligent smart contracts in advancing decentralized intelligence within the Metaverse. © 2025 Elsevier B.V.",Blockchain; Extended stigmergy; HAIB-Metaverse architecture; Intelligent smart contract; Reinforcement learning algorithms; Web 3,1,1,2.0
287,Multi-Agent DRL for Queue-Aware Task Offloading in Hierarchical MEC-Enabled Air-Ground Networks,"Mobile edge computing (MEC)-enabled air-ground networks advance 6G wireless networks by utilizing aerial base stations (ABSs) such as unmanned aerial vehicles (UAVs) and high altitude platform stations (HAPS) to provide dynamic services to ground IoT devices (IoTDs). These IoTDs support real-time applications like multimedia and Metaverse services, which demand high computational resources and strict quality of service (QoS) guarantees, specifically in terms of latency and efficient task queue management. However, IoTDs often face constraints in energy and computational power, requiring efficient queue management and task scheduling to maintain QoS. To address these challenges, UAVs and HAPS are deployed to supplement the computational limitations of IoTDs by offloading tasks for distributed processing. Due to UAVs' resource limitations, particularly in terms of power and coverage area, HAPS are used to enhance their capabilities and extend coverage. Overloaded UAVs may relay tasks to HAPS, creating a multi-tier computing system. This paper addresses the overall energy minimization problem in the MEC-enabled air-ground integrated network (MAGIN) by optimizing UAV trajectories, computing resource allocation, and queue-aware task offloading decisions. The optimization problem is highly complex due to the nonconvex and nonlinear nature of this hierarchical system, which traditional methods cannot effectively solve. To tackle this, we reformulate the problem as a multi-agent Markov decision process (MDP) with continuous action spaces and heterogeneous agents. We propose a novel variant of multi-agent proximal policy optimization (MAPPO) with Beta distribution (MAPPO-BD) to solve this problem. Extensive simulations show that MAPPO-BD significantly outperforms other baselines, achieving superior energy savings and efficient resource management in MAGIN, while adhering to constraints related to queue delays and edge computing capabilities.  © 2025 IEEE.",air-ground network; edge network; Metaverse; Mobile edge computing; multi-agent deep reinforcement learning,1,1,2.0
289,Metaverse Community Group Loyalty Contagion and Regulation Model Based on User Stickiness,"The investigation into the micro-social behaviours of groups in metaverse communities is minimal. This paper proposes a user stickiness-based loyalty contagion and regulation model in a meta-verse community inspired by user stickiness in the real world. We hope to establish a link between user stickiness and group loyalty through community regulation, enhance user stickiness, and improve metaverse community loyalty. We verified the feasibility and robust-ness of the model through simulation experiments and obtained the optimal community regulation intensity through sensitivity analy-sis experiments. Our results show that communities can maintain healthy long-term development when optimal community regulation intensity is adopted.  © 2023 IEEE.",Group simulation; Loyalty; Metaverse ecosystem; Multi-Agents; Social behaviour modelling; User stickiness,1,1,2.0
290,Metaverse: A Solution to the Multi-Agent Value Alignment Problem,"AI Safety researchers attempting to align values of highly capable intelligent systems with those of humanity face a number of challenges including personal value extraction, multi-agent value merger and finally in-silico encoding. State-of-the-art research in value alignment shows difficulties in every stage in this process, but merger of incompatible preferences is a particularly difficult challenge to overcome. In this paper, we assume that the value extraction problem will be solved and propose a possible way to implement an AI solution which optimally aligns with individual preferences of each user. We conclude by analyzing benefits and limitations of the proposed approach. © 2022 World Scientific Publishing Company.",AI safety; alternate reality; simulation; value alignment problem; VR,1,0.5,1.5
296,Multi-Agent Deep Reinforcement Learning for Digital Twin over 6G Wireless Communication in the Metaverse,"Technology advancements in wireless communications and high-performance Extended Reality (XR) have empowered the developments of the Metaverse. The demand for Metaverse applications and hence, real-time digital twinning of real-world scenes is increasing. Nevertheless, the replication of 2D physical world images into 3D virtual world scenes is computationally intensive and requires computation offloading. The disparity in transmitted scene dimension (2D as opposed to 3D) leads to asymmetric data sizes in uplink (UL) and downlink (DL). To ensure the reliability and low latency of the system, we consider an asynchronous joint UL-DL scenario where the smaller data size of the physical world scenes captured in the UL will be uploaded to the Metaverse Console (MC) to be construed and rendered, and the larger-size 3D virtual world scenes need to be transmitted back in DL. The decisions pertaining to computation offloading and channel assignment are optimized in the UL stage, and the MC will optimize power allocation for users assigned with a channel in the UL transmission stage. To ensure the reliability and low latency of the system, we design a novel Multi-agent Deep Reinforcement Learning (MADRL) structure, namely Asynchronous Actors Hybrid Critic (AAHC). The simulation experiments demonstrate that compared to the proposed baselines, AAHC obtains better solutions with a preferable training time.  © 2023 IEEE.",latency; Metaverse; Reinforcement learning; reliability; resource allocation; wireless communications,1,1,2.0
299,Multiagent Deep Reinforcement Learning for Dynamic Avatar Migration in AIoT-Enabled Vehicular Metaverses With Trajectory Prediction,"Avatars, as promising digital assistants in Vehicular Metaverses, can enable drivers and passengers to immerse in 3-D virtual spaces, serving as a practical emerging example of Artificial Intelligence of Things (AIoT) in intelligent vehicular environments. The immersive experience is achieved through seamless human-avatar interaction, e.g., augmented reality navigation, which requires intensive resources that are inefficient and impractical to process on intelligent vehicles locally. Fortunately, offloading avatar tasks to roadside units (RSUs) or cloud servers for remote execution can effectively reduce resource consumption. However, the high mobility of vehicles, the dynamic workload of RSUs, and the heterogeneity of RSUs pose novel challenges to making avatar migration decisions. To address these challenges, in this article, we propose a dynamic migration framework for avatar tasks based on real-time trajectory prediction and multiagent deep reinforcement learning (MADRL). Specifically, we propose a model to predict the future trajectories of intelligent vehicles based on their historical data, indicating the future workloads of RSUs. Based on the expected workloads of RSUs, we formulate the avatar task migration problem as a long-term mixed-integer programming problem. To tackle this problem efficiently, the problem is transformed into a partially observable Markov decision process (POMDP) and solved by multiple DRL agents with hybrid continuous and discrete actions in decentralized. Numerical results demonstrate that our proposed algorithm can effectively reduce the latency of executing avatar tasks by around 25% without prediction and 30% with prediction and enhance user immersive experiences in the AIoT-enabled Vehicular Metaverse (AeVeM).  © 2023 IEEE.",Artificial Intelligence of Things (AIoT); avatar; Metaverses; multiagent deep reinforcement learning (MADRL); service migration; trajectory prediction,1,1,2.0
303,Mobile Edge Adversarial Detection for Digital Twinning to the Metaverse with Deep Reinforcement Learning,"Real-time Digital Twinning of physical world scenes onto the Metaverse is necessary for a myriad of applications such as augmented-reality (AR) assisted driving. In AR assisted driving, physical environment scenes are first captured by Internet of Vehicles (IoVs) and are uploaded to the Metaverse. A central Metaverse Map Service Provider (MMSP) will aggregate information from all IoVs to develop a central Metaverse Map. Information from the Metaverse Map can then be downloaded into individual IoVs on demand and be delivered as AR scenes to the driver. However, the growing interest in developing AR assisted driving applications which relies on digital twinning invites adversaries. These adversaries may place physical adversarial patches on physical world objects such as cars, signboards, or on roads, seeking to contort the virtual world digital twin. Hence, there is a need to detect these physical world adversarial patches. Nevertheless, as real-time, accurate detection of adversarial patches is compute-intensive, these physical world scenes have to be offloaded to the Metaverse Map Base Stations (MMBS) for computation. Hence in our work, we considered an environment with moving Internet of Vehicles (IoV), uploading real-time physical world scenes to the MMBSs. We formulated a realistic joint variable optimization problem where the MMSPs' objective is to maximize adversarial patch detection mean average precision (mAP), while minimizing the computed AR scene up-link transmission latency and IoVs' up-link transmission idle count, through optimizing the IoV-MMBS allocation and IoV up-link scene resolution selection. We proposed a Heterogeneous Action Proximal Policy Optimization (HAPPO) (discrete-continuous) algorithm to tackle the proposed problem. Extensive experiments shows HAPPO outperforms baseline models when compared against key metrics.  © 2023 IEEE.",adversarial; augmented reality; digital twin; Internet of Vehicles; Metaverse; multi-agent; reinforcement learning; resource allocation,1,1,2.0
308,Multiple-Agent Deep Reinforcement Learning for Avatar Migration in Vehicular Metaverses,"Vehicular Metaverses are widely considered as the next Internet revolution to build a 3D virtual world with immersive virtual-real interaction for passengers and drivers. In vehicular Metaverse applications, avatars are digital representations of on-board users to obtain and manage immersive vehicular services (i.e., avatar tasks) in Metaverses and the data they generate. However, traditional Internet of Vehicles (IoV) data management solutions have serious data security risks and privacy protection. Fortunately, blockchain-based Web 3.0 enables avatars to have an ownership identity to securely manage the data owned by users in a decentralized and transparent manner. To ensure users' immersive experiences and securely manage their data, avatar tasks often require significant computing resources. Therefore, it is impractical for the vehicles to process avatar tasks locally, massive computation resources are needed to support the avatar tasks. To this end, offloading avatar tasks to nearby RoadSide Units (RSUs) is a promising solution to avoid computation overload. To ensure real-time and continuous Metaverse services, the avatar tasks should be migrated among the RSUs when the vehicle navigation. It is challenging for the vehicles to independently decide whether migrate or not according to current and future avatar states. Therefore, in this paper, we propose a new avatar task migration framework for vehicular Metaverses. We then formulate the avatar task migration problem as a Partially Observable Markov Decision Process (POMDP), and apply a Multi-Agent Deep Reinforcement Learning (MADRL) algorithm to dynamically make migration decisions for avatar tasks. Numerous results show that our proposed algorithm outperforms existing baselines for avatar task migration and enables immersive vehicular Metaverse services.  © 2023 ACM.",avatar migration; multi-agent deep reinforcement learning; vehicular Metaverse,1,1,2.0
013,NEXUS: Fusing the Real & the Virtual,"The aim of this project has been to create NEXUS, a framework that supports fusion of the physical and the virtual, creating a single world in which people can interact with deliberative agents in their own space. This work promotes a more orthogonal perspective for the development of artificial systems and their functionality as tools. This NEXUS becomes a place in which virtual and physical information spaces become entwined, resulting in the entities that inhabit this space being able to interact in a seamless fashion. The level of interaction envisaged is not simply a matter of people controlling the form of a virtual space, or even one of artificial entities that control the form of a physical space. Instead, we view the NEXUS as a fusion of physical and virtual spaces in which a number of entities jointly interact. This then facilitates the coherent integration of humans and the digital information space",Augmented reality;control architectures;multi-agent systems,1,1,2.0
293,On a Cooperative Deep Reinforcement Learning-Based Multi-Objective Routing Strategy for Diversified 6G Metaverse Services,"Metaverse has been widely recognized as an important 6G application with increasingly stringent, detailed, and diversified requirements for multiple Quality of Service (QoS) metrics. However, traditional routing strategies are usually based on unified weights and select the paths independently, which neglects the service diversity and resource constraints. In this paper, we focus on the diversified metaverse service requirements and propose the Deep Reinforcement Learning (DRL) based multiple objective routing strategy for different services. Multiple agents in the DRL model cooperatively select the paths to improve the resource utilization efficiency. Simulation results illustrate that our proposal outperforms traditional strategies.  © 2024 IEEE.",6G metaverse services; cooperative deep reinforcement learning; diversified QoS requirements; multi-objective routing,1,1,2.0
321,On a Hierarchical Content Caching and Asynchronous Updating Scheme for Non-Terrestrial Network-Assisted Connected Automated Vehicles,"With the advantages of seamless coverage and ubiquitous connections, Non-Terrestrial Networks (NTNs) composed of Low Earth Orbit (LEO) satellites and Unmanned Aerial Vehicles (UAVs) can provide content caching services for future Connected Automated Vehicles (CAVs) to satisfy onboard collaborative viewing, traffic sensing, and metaverse entertainments in remote areas. However, the heterogeneous caching hardware, communication environments, and frequent network dynamics make the optimization of content caching policy highly complicated. Firstly, considering all LEO satellites as caching satellites can lead to content duplication and radio interference, causing storage waste and NTN transmission quality deterioration. Secondly, how to provide customized QoS by intra-layer and inter-layer cooperative caching in such complicated environments remains an open issue. Thus, we propose a Delay-Motivated Ant Colony Optimization (DM-ACO) scheme to select caching LEO satellites with reduced system propagation delay. Then, the Multi-Agent Deep Reinforcement Learning-based Hierarchical Caching and Asynchronous Updating (MADRL-HCAU) strategy is designed to manage the caching capacity of LEO satellites and UAVs, providing customized services for CAVs and dispensing the peak traffic. Simulation results illustrate that the proposed scheme can not only effectively accelerate the caching refreshing and content downloading process but also significantly reduce the packet drop and improve the cache hit ratio. © 1983-2012 IEEE.",ant colony optimization; asynchronous updating; hierarchical caching; multi-agent deep reinforcement learning; Non-terrestrial networks,1,1,2.0
