ID,Title,Abstract,Keywords,Authors,Year,Publication_Type,Source_Name,Platform_Type,Research_Area,System_Architecture,Agent_Role,Behavior_Mechanism,Evaluation_Method,Experimental_Design,Challenge_Type,Research_Gap,Evaluation_Limitations
25,Federated Learning for improved prediction of failures in Autonomous Guided Vehicles,"Autonomous Guided Vehicles (AGVs) are nowadays an indispensable component of production lines in smart manufacturing. Managing the fleet of AGVs covers not only the delegation of operational tasks but also the monitoring of AGVs activity and health condition by applying tailored Machine Learning-based methods to detect anomalies in various signals gathered by edge IoT devices mounted on board. Detecting anomalies requires appropriate prediction of selected signals based on multiple types of sensor readings. Momentary energy consumption is one of the signals that can indicate abnormal states in AGVs. In this paper, we show that the prediction of this signal can be improved with the Federated Learning (FL) approach that involves exchanging experience gained by particular AGVs. This paper significantly extends the conference paper (Shubyn et al., 2022) with the new multi-round approach to building global prediction models and recent experiments on real data streams produced by AGVs designed by the AIUT company. The results of our experiments prove that in the AGV operational environments with distributed knowledge Federated Learning performs better than traditional centralized approaches and that frequent synchronization of experience may lead to better prediction quality.","Federated Learning, Autonomous Guided Vehicles, Smart manufacturing, Prediction, Industry 4.0","Bohdan Shubyn, Daniel Kostrzewa, Piotr Grzesik, Paweł Benecki, Taras Maksymyuk, Vaidy Sunderam, Jia-Hao Syu, Jerry Chun-Wei Lin, Dariusz Mrozek",2023,Journal article,Journal Of Computational Science,Industrial,Artificial Intelligence,Other,Transportation,Reinforcement Learning,Quantitative Metrics,Quantitative,Network,Security,Generalizability
26,Human-Centric Resource Allocation for the Metaverse With Multiaccess Edge Computing,"Multiaccess edge computing (MEC) is a promising solution to the computation-intensive, low-latency rendering tasks of the metaverse. However, how to optimally allocate limited communication and computation resources at the edge to a large number of users in the metaverse is quite challenging. In this article, we propose an adaptive edge resource allocation method based on multiagent soft actor-critic with graph convolutional networks (SAC-GCN). Specifically, SAC-GCN models the multiuser metaverse environment as a graph where each agent is denoted by a node. Each agent learns the interplay between agents by graph convolutional networks with a self-attention mechanism to further determine the resource usage for one user in the metaverse. The effectiveness of SAC-GCN is demonstrated through the analysis of user experience, balance of resource allocation, and resource utilization rate by taking a virtual city park metaverse as an example. Experimental results indicate that SAC-GCN outperforms other resource allocation methods in improving overall user experience, balancing resource allocation, and increasing resource utilization rate by at least 27%, 11%, and 8%, respectively.","Attention mechanism, extended reality (XR), graph convolutional network, multiagent reinforcement learning","Zijian Long, Haiwei Dong, Abdulmotaleb El Saddik",2023,Journal Article,IEEE Internet Of Things Journal,Infrastructure,Artificial Intelligence,Edge-Cloud,Social Interaction,Reinforcement Learning,Case Studies,Quantitative,Network,System Design,Validation Environment
27,Hierarchical Deep Reinforcement Learning With Experience Sharing for Metaverse in Education,"Metaverse has gained increasing interest in education, with much of literature focusing on its great potential to enhance both individual and social aspects of learning. However, little work has been done to address the systems and technologies behind providing meaningful Metaverse learning. This article proposes a technical framework to address this research gap, where a hierarchical multiagent reinforcement learning approach with experience sharing is developed to augment the intelligence of nonplayer characters in Metaverse learning for personalization. The utility and benefits of the proposed framework and methodologies are demonstrated in Gridlock, a Metaverse learning game, as well as through extensive simulations.","ACP, experience sharing, metaverse learning, reinforcement learning (RL)","Ryan Hare, Ying Tang",2023,Journal article,"IEEE Transactions On Systems, Man, And Cybernetics: Systems",Simulation,Artificial Intelligence,Multi-agent,Social Interaction,Reinforcement Learning,Case Studies,Quantitative,Metaverse,System Design,Validation Environment
28,Human-Aware Dynamic Hierarchical Network Control for Distributed Metaverse Services,"Metaverse has emerged as a revolutionary technique for transforming the way people interact with digital content, which relies on a distributed computing and communication infrastructure, encompassing terminal users, edge servers, and cloud servers. However, the rapid evolution of the Metaverse presents challenges that surpass the capabilities of existing communication and network infrastructures, particularly on network bandwidth and latency. Additionally, human experience becomes a critical factor in this domain. Therefore, we introduce a human-aware hierarchical software defined network (SDN) architecture consisting of a Metaverse cloud layer, a mobile edge computing (MEC) server empowered edge layer, and a distributed terminal layer. Each MEC server dynamically controls a multi-antenna base station (BS) and several reconfigurable intelligent surfaces (RISs) according to the terminal immersive experience requirements in real-time. To overcome the bandwidth limitation, we propose a novel smart reconfigurable spatial reuse new radio in unlicensed spectrum (NR-U) framework, which can realize customizable communications through flexibly and coordinately reconfiguring beams among the coordination between BSs and RISs. The objective function is formulated as a Lyapunov optimization based decentralized partially-observable Markov decision process (Dec-POMDP) problem to maximize the spectral efficiency while guaranteeing the latency and reliability requirements in Metaverse, via a joint user selection, phase-shift control, and beam coordination strategy. To solve the above non-convex, strongly coupled, and mixed integer nonlinear programming (MINLP), we propose a novel multi-agent hierarchical deep reinforcement learning (MAHDRL) algorithm that integrates deep Q-network (DQN) to solve discrete problems, deep deterministic policy gradient (DDPG) to solve continuous problems, and mixing network to capture complex interactions between multiple agents. Numerical results demonstrate the effectiveness of the proposed algorithm and verify the performance improvements compared to traditional multi-agent deep reinforcement learning (MADRL) algorithms.","Human-aware, dynamic network control, multi-agent, distributed coordination, NR-U, RIS, metaverse","Qimei Chen, Ruixue Li, Xiaoxia Xu, Jing Wu, Hao Jiang, Meikang Qiu",2024,Journal Article,IEEE Journal On Selected Areas In Communications,Infrastructure,Industrial Systems,Hierarchical / Multi-layer,Network Infrastructure,Reinforcement Learning,Quantitative Metrics,Quantitative,Network,Validation,Validation Environment
29,Improving End-To-End Latency Fairness Using a Reinforcement-Learning-Based Network Scheduler,"In services such as metaverse, which should provide a constant quality of service (QoS) regardless of the user’s physical location, the end-to-end (E2E) latency must be fairly distributed over any flow in the network. To this end, we propose a reinforcement learning (RL)-based scheduler for minimizing the maximum network E2E latency. The RL model used the double deep Q-network (DDQN) with the prioritized experience replay (PER). In order to see the performance change according to the type of RL agent, we implemented a single-agent environment where the controller is an agent and a multi-agent environment where each node is an agent. Since the agents were unable to identify E2E latencies in the multi-agent environment, the state and reward were formulated using the estimated E2E latencies. To precisely evaluate the RL-based scheduler, we set out benchmark algorithms to compare with which a network-arrival-time-based heuristic algorithm (NAT-HA) and a maximum-estimated-delay-based heuristic algorithm (MED-HA). The RL-based scheduler, first-in-first-out (FIFO), round-robin (RR), NAT-HA, and MED-HA were compared through large-scale simulations on four network topologies. The simulation results in fixed-packet generation scenarios showed that our proposal, the RL-based scheduler, achieved the minimization of maximum E2E latency in all the topologies. In other scenarios with random flow generation, the RL-based scheduler and MED-HA showed the lowest maximum E2E latency for all topologies. Depending on the topology, the maximum E2E latency of NAT-HA was equal to or larger than that of the RL-based scheduler. In terms of fairness, the RL-based scheduler showed a higher level of fairness than that of FIFO and RR. NAT-HA had similar or lower fairness than the RL-based scheduler depending on the topology, and MED-HA had the same level of fairness as the RL-based scheduler.","min-max criterion, reinforcement learning, double-deep Q-learning, prioritized experience replay, end-to-end latency, fairness","Juhyeok Kwon, Jihye Ryu, Jee Hang Lee, Jinoo Joung",2023,Journal article,Applied Sciences,Infrastructure,Artificial Intelligence,Multi-agent,Learning,Reinforcement Learning,Comparative Analysis,Quantitative,Network,Dynamic Adaptability,Validation Environment
30,Joint Quantum Reinforcement Learning and Stabilized Control for Spatio-Temporal Coordination in Metaverse,"This paper proposes a novel system-wide coordination algorithm for high synchronization between physical-space and virtual meta-space in metaverse systems. The algorithm consists of three stages: QMARL-based scheduling for low-delay temporal synchronization, avatar-popularity-aware virtual content creation for spatial synchronization, and AoI-aware caching strategies for faster spatio-temporal synchronization.","Age-of-Information, metaverse, quantum reinforcement learning, synchronization","Soohyun Park, Jaehyun Chung, Changyoung Park, Soyi Jung, Minscok Choi, Sungrae Cho, Joongheon Kim",2024,Journal Article,IEEE Transactions On Mobile Computing,Simulation,Artificial Intelligence,Hierarchical / Multi-layer,Digital Twin,Reinforcement Learning,Comparative Analysis,Quantitative,Resource Management,Models,Validation Environment
31,MARL Sim2real Transfer: Merging Physical Reality With Digital Virtuality in Metaverse,"Metaverse is an artificial virtual world mapped from and interacting with the real world. In metaverse, digital entities coexist with their physical counterparts. Powered by deep learning, metaverse is inevitably becoming more intelligent in the interactions between reality and virtuality. However, it is confronted with a nontrivial problem known as sim2real transfer when deep learning techniques try to bridge the reality gap between the physical world and simulations. In this article, we use multiagent deep reinforcement learning (MARL) to implement collective intelligence for digital entities as well as their physical counterparts. To model the immersive environments in metaverse, we define a nonstationary variant of Markov games and propose a recurrent MARL solution to it. Based on the solution, MARL sim2real transfer that bridges real and virtual multiple unmanned aerial vehicle (multi-UAV) systems is successfully conducted by employing recurrent multiagent deep deterministic policy gradient (R-MADDPG) with the domain randomization technique. Additionally, we use perception-control modularization to improve the generalization performance of MARL policies and make training more efficient.","Metaverse, multiagent deep reinforcement learning (MARL), multiple unmanned aerial vehicle (multi-UAV), nonstationary Markov game, sim2real transfer","Haoran Shi, Guanjun Liu, Kaiwen Zhang, Ziyuan Zhou, Jiacun Wang",2023,Journal article,"IEEE Transactions On Systems, Man, And Cybernetics: Systems",Simulation,Simulation,Multi-agent,Digital Twin,Hybrid AI Techniques,Quantitative Metrics,Quantitative,Metaverse,Validation,Validation Environment
32,MADRL-Based Joint Edge Caching and Bitrate Selection for Multicategory 360° Video Streaming,This article proposes a multiagent deep-reinforcement-learning-based joint edge caching and bitrate selection strategy for multicategory 360° video streaming to improve users’ average Quality of Experience (QoE). The strategy employs different edge caching and bitrate selection strategies for different video categories to enable fine-grained performance optimization.,"Bitrate selection, edge caching, multiagent deep reinforcement learning (MADRL), multicategory 360° video streaming, Quality of Experience (QoE)","Jiaxin Zeng, Xiaobo Zhou, Keqiu Li",2023,Journal Article,IEEE Internet Of Things Journal,Simulation,Artificial Intelligence,Multi-agent,Digital Twin,Reinforcement Learning,Quantitative Metrics,Quantitative,Metaverse,Models,Validation Environment
33,Metaversal intelligence: Unifying human-AI interactions in human-in-the-loop AIB-Metaverse,"The convergence of 6G and Web 3 technologies with the Metaverse necessitates user-centric, intelligent solutions to address challenges of adaptability, scalability, and efficiency in decentralized systems. This paper introduces the Human-AI Blockchain (HAIB) Metaverse architecture and the Intelligent Smart Contract (InSC) framework, which integrate Reinforcement Learning (RL) and extended stigmergy to optimize multi-agent interactions and enable dynamic, self-executing smart contracts. The HAIB architecture enhances human-AI collaboration through a human-in-the-loop approach, facilitating adaptive decision-making and efficient resource allocation. Serving as the cognitive core, the InSC framework combines dynamic environmental feedback with real-time data analytics to enable intelligent decision-making. Experimental evaluations demonstrate that the proposed framework reduces gas consumption by 32–33% while increasing cumulative rewards. These findings highlight the significant potential of intelligent smart contracts in advancing decentralized intelligence within the Metaverse.","Blockchain, Extended stigmergy, HAIB-Metaverse architecture, Intelligent smart contract, Reinforcement learning algorithms, Web 3","Minoo Soltanshahi, Martin Maier",2025,Journal article,Computer Networks,Simulation,Artificial Intelligence,Other,Digital Twin,Reinforcement Learning,Comparative Analysis,Quantitative,Resource Management,Dynamic Adaptability,Validation Environment
34,Multi-Agent DRL for Queue-Aware Task Offloading in Hierarchical MEC-Enabled Air-Ground Networks,"Mobile edge computing (MEC)-enabled air-ground networks advance 6G wireless networks by utilizing aerial base stations (ABSs) such as unmanned aerial vehicles (UAVs) and high altitude platform stations (HAPS) to provide dynamic services to ground IoT devices (IoTDs). These IoTDs support real-time applications like multimedia and Metaverse services, which demand high computational resources and strict quality of service (QoS) guarantees, specifically in terms of latency and efficient task queue management. However, IoTDs often face constraints in energy and computational power, requiring efficient queue management and task scheduling to maintain QoS. To address these challenges, UAVs and HAPS are deployed to supplement the computational limitations of IoTDs by offloading tasks for distributed processing. Due to UAVs' resource limitations, particularly in terms of power and coverage area, HAPS are used to enhance their capabilities and extend coverage. Overloaded UAVs may relay tasks to HAPS, creating a multi-tier computing system. This paper addresses the overall energy minimization problem in the MEC-enabled air-ground integrated network (MAGIN) by optimizing UAV trajectories, computing resource allocation, and queue-aware task offloading decisions. The optimization problem is highly complex due to the nonconvex and nonlinear nature of this hierarchical system, which traditional methods cannot effectively solve. To tackle this, we reformulate the problem as a multi-agent Markov decision process (MDP) with continuous action spaces and heterogeneous agents. We propose a novel variant of multi-agent proximal policy optimization (MAPPO) with Beta distribution (MAPPO-BD) to solve this problem. Extensive simulations show that MAPPO-BD significantly outperforms other baselines, achieving superior energy savings and efficient resource management in MAGIN, while adhering to constraints related to queue delays and edge computing capabilities.","Mobile edge computing, multi-agent deep reinforcement learning, edge network, air-ground network, Metaverse","Muhammet Hevesli, Abegaz Mohammed Seid, Aiman Erbad, Mohamed Abdallah",2025,Journal,IEEE Transactions On Cognitive Communications And Networking,Infrastructure,Industrial Systems,Hierarchical / Multi-layer,Learning,Reinforcement Learning,Comparative Analysis,Quantitative,Network,System Design,Validation Environment
35,Metaverse Community Group Loyalty Contagion and Regulation Model Based on User Stickiness,"The investigation into the micro-social behaviours of groups in metaverse communities is minimal. This paper proposes a user stickiness-based loyalty contagion and regulation model in a metaverse community inspired by user stickiness in the real world. We hope to establish a link between user stickiness and group loyalty through community regulation, enhance user stickiness, and improve metaverse community loyalty. We verified the feasibility and robustness of the model through simulation experiments and obtained the optimal community regulation intensity through sensitivity analysis experiments. Our results show that communities can maintain healthy long-term development when optimal community regulation intensity is adopted.","Metaverse ecosystem, Social behaviour modelling, User stickiness, Loyalty, Group simulation, Multi-Agents","Junxiao Xue, Mingchuang Zhang",2023,Conference article,IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),Social,Social Computing,Multi-agent,Social Interaction,Game Theory,Case Studies,Quantitative,Metaverse,Models,Validation Environment
36,Metaverse: A Solution to the Multi-Agent Value Alignment Problem,"AI Safety researchers attempting to align values of highly capable intelligent systems with those of humanity face a number of challenges including personal value extraction, multi-agent value merger and finally in-silico encoding. In this paper we assume that the value extraction problem will be solved and propose a possible way to implement an AI solution which optimally aligns with individual preferences of each user via Individual Simulated Universes (ISUs). We conclude by analyzing benefits and limitations of the proposed approach.",AI Safety; Alternate Reality; Simulation; Value Alignment Problem; VR,Roman Yampolskiy,2022,Journal Article,Journal Of Artificial Intelligence And Consciousness,Simulation,Artificial Intelligence,Other,Digital Twin,Hybrid AI Techniques,Theoretical Analysis,Mixed,Multi-Agent Collaboration,Technology Integration,Subjectivity
37,Multi-Agent Deep Reinforcement Learning for Digital Twin over 6G Wireless Communication in the Metaverse,"Technology advancements in wireless communications and high-performance Extended Reality (XR) have empowered the developments of the Metaverse. The demand for Metaverse applications and hence, real-time digital twinning of real-world scenes is increasing. Nevertheless, the replication of 2D physical world images into 3D virtual world scenes is computationally intensive and requires computation offloading. The disparity in transmitted scene dimension (2D as opposed to 3D) leads to asymmetric data sizes in uplink (UL) and downlink (DL). To ensure the reliability and low latency of the system, we consider an asynchronous joint UL-DL scenario where the smaller data size of the physical world scenes captured in the UL will be uploaded to the Metaverse Console (MC) to be construed and rendered, and the larger-size 3D virtual world scenes need to be transmitted back in DL. The decisions pertaining to computation offloading and channel assignment are optimized in the UL stage, and the MC will optimize power allocation for users assigned with a channel in the UL transmission stage. To ensure the reliability and low latency of the system, we design a novel Multi-agent Deep Reinforcement Learning (MADRL) structure, namely Asynchronous Actors Hybrid Critic (AAHC). The simulation experiments demonstrate that compared to the proposed baselines, AAHC obtains better solutions with a preferable training time.","Reinforcement learning, resource allocation, latency, reliability, wireless communications, Metaverse","Wenhan Yu, Terence Chua Jie, Jun Zhao",2023,Conference article,IEEE INFOCOM Workshops,Infrastructure,Artificial Intelligence,Multi-agent,Learning,Reinforcement Learning,Comparative Analysis,Quantitative,Network,Models,Validation Environment
38,Multiagent Deep Reinforcement Learning for Dynamic Avatar Migration in AIoT-Enabled Vehicular Metaverses With Trajectory Prediction,"This article proposes a dynamic avatar task migration framework for AIoT-enabled vehicular metaverses (AeVeM) to minimize latency and enhance user immersive experiences. The framework combines a coverage-aware LSTM trajectory prediction model with a Hybrid-MAPPO algorithm to address challenges like high mobility of vehicles, dynamic RSU workloads, and nonuniform RSU deployment.","Artificial Intelligence of Things (AIoT), avatar, Metaverses, multiagent deep reinforcement learning (MADRL), service migration, trajectory prediction","Junlong Chen, Jiawen Kang, Minrui Xu, Zehui Xiong, Dusit Niyato, Abbas Jamalipour, Shengli Xie",2024,Journal Article,IEEE Internet Of Things Journal,Infrastructure,Artificial Intelligence,Multi-agent,Network Infrastructure,Game Theory,Quantitative Metrics,Quantitative,Network,Validation,Validation Environment
39,Mobile Edge Adversarial Detection for Digital Twinning to the Metaverse: A Deep Reinforcement Learning Approach,"Digital Twinning of physical world scenes onto the Metaverse is necessary for augmented reality (AR)-assisted driving. In AR-assisted driving, physical environment scenes are first captured by AR vehicles and are uploaded to the Metaverse for the construction of the Metaverse Map. However, the development of AR-assisted driving applications invites adversaries. These attackers may place adversarial patches on physical objects, seeking to contort the Metaverse Map. As real-time, accurate detection of adversarial patches is compute-intensive, these physical world scenes have to be offloaded to the Metaverse Map Base Station (MMBS) for computation. Therefore, we considered a scenario where AR vehicles capture physical world scenes and upload these scenes in real-time to the MMBSs. We formulated an optimization problem where the MMSP’s objective is to maximize adversarial patch detection mean Average Precision (mAP), while minimizing the computed AR scene uplink transmission latency and minimizing the worst-case (largest) AR vehicle’s uplink transmission battery charge consumption, through optimizing the AR vehicle-MMBS allocation, AR vehicle uplink scene resolution selection, and AR vehicle uplink power output selection. We proposed a Heterogeneous Action (HA) algorithm to tackle the proposed problem. Extensive experiments show our HA models outperforms baseline models when compared against key metrics.","Metaverse, resource allocation, reinforcement learning, augmented reality, digital twin","Terence Jie Chua, Wenhan Yu, Jun Zhao",2023,Journal article,IEEE Transactions On Wireless Communications,Infrastructure,Artificial Intelligence,Multi-agent,Learning,Reinforcement Learning,Comparative Analysis,Quantitative,Network,Dynamic Adaptability,Generalizability
40,Multiple-Agent Deep Reinforcement Learning for Avatar Migration in Vehicular Metaverses,"This paper proposes a dynamic avatar task migration framework for vehicular Metaverses, leveraging blockchain-based Web 3.0 for secure data management. The framework uses a Multi-Agent Deep Reinforcement Learning (MADRL) algorithm to optimize migration decisions, minimizing latency while ensuring continuous and immersive avatar services.","vehicular Metaverse, avatar migration, multi-agent deep reinforcement learning","Junlong Chen, Jiangtian Nie, Minrui Xu, Lingjuan Lyu, Zehui Xiong, Jiawen Kang, Yongju Tong, Wenchao Jiang",2023,Conference Paper,ACM Web Conference 2023 Companion Proceedings,Infrastructure,Artificial Intelligence,Multi-agent,Network Infrastructure,Game Theory,Quantitative Metrics,Quantitative,Resource Management,Technology Integration,Validation Environment
41,On a Cooperative Deep Reinforcement Learning-Based Multi-Objective Routing Strategy for Diversified 6G Metaverse Services,"Metaverse has been widely recognized as an important 6G application with increasingly stringent, detailed, and diversified requirements for multiple Quality of Service (QoS) metrics. However, traditional routing strategies are usually based on unified weights and select the paths independently, which neglects the service diversity and resource constraints. In this paper, we focus on the diversified metaverse service requirements and propose the Deep Reinforcement Learning (DRL) based multiple objective routing strategy for different services. Multiple agents in the DRL model cooperatively select the paths to improve the resource utilization efficiency. Simulation results illustrate that our proposal outperforms traditional strategies.","6G metaverse services, diversified QoS requirements, multi-objective routing, cooperative deep reinforcement learning","Bomin Mao, Xueming Zhou, Jiajia Liu, Nei Kato",2024,Journal article,IEEE Transactions On Vehicular Technology,Infrastructure,Artificial Intelligence,Other,Network Infrastructure,Reinforcement Learning,Comparative Analysis,Quantitative,Network,Models,Validation Environment
42,On a Hierarchical Content Caching and Asynchronous Updating Scheme for Non-Terrestrial Network-Assisted Connected Automated Vehicles,This paper proposes a hierarchical content caching and asynchronous updating scheme for Non-Terrestrial Networks (NTNs) to optimize content delivery for Connected Automated Vehicles (CAVs). The scheme includes a Delay-Motivated Ant Colony Optimization (DM-ACO) algorithm for caching node selection and a Multi-Agent Deep Reinforcement Learning-based Hierarchical Caching and Asynchronous Updating (MADRL-HCAU) strategy to minimize transmission delay and improve cache hit ratio.,"Non-terrestrial networks, hierarchical caching, asynchronous updating, ant colony optimization, multi-agent deep reinforcement learning","Bomin Mao, Yangbo Liu, Hongzhi Guo, Yijie Xun, Jiadai Wang, Jiajia Liu, Nei Kato",2024,Journal Article,IEEE Journal On Selected Areas In Communications,Infrastructure,Artificial Intelligence,Hierarchical / Multi-layer,Network Infrastructure,Reinforcement Learning,Quantitative Metrics,Quantitative,Network,Technology Integration,Validation Environment
43,QoE-Oriented Cooperative VR Rendering and Dynamic Resource Leasing in Metaverse,"The rise of the Metaverse has ushered in a new era of social networking, offering users deeply engaging spaces to connect and participate in social activities. However, rendering these virtual environments is resource-intensive. With many users accessing simultaneously and requiring diverse Metaverse services, optimizing Metaverse resources to deliver the best quality-of-experience (QoE) for users is a significant challenge. In this paper, we propose a cooperative virtual reality (VR) rendering and dynamic resource leasing mechanism to address this issue. Specifically, we first introduce a cooperative VR scene pre-rendering framework between users and Planets (i.e., edge servers hosting users), and establish a new user QoE metric named EdgeVRQoE which considers both rendering delay and visual quality. We formulate the multidimensional rendering resources (e.g., GPU, CPU, and outbound bandwidth) leasing problem between Planets and users as a double-layer decision problem, and devise a hybrid action multi-agent reinforcement learning-based dynamic resource auction mechanism to efficiently allocate limited resources of Planets in a distributed and adaptive manner. Extensive simulations demonstrate that our proposed scheme outperforms the representatives in user QoE and resource utilization efficiency. Particularly, the proposed scheme shows at least an 18-fold improvement in QoE over other schemes, demonstrating its capability in providing immersive Metaverse experiences.","Metaverse, cooperative VR rendering, QoE, MARL, dynamic resource leasing","Nan Liu, Tom H. Luan, Yuntao Wang, Yiliang Liu, Zhou Su",2025,Journal article,IEEE Transactions On Mobile Computing,Infrastructure,Artificial Intelligence,Three-layer,IoT Industrial,Game Theory,Comparative Analysis,Quantitative,Metaverse,Models,Scalability
44,QoI-Aware Mobile Crowdsensing for Metaverse by Multi-Agent Deep Reinforcement Learning,"Metaverse is expected to provide mobile users with emerging applications both in regular situations like intelligent transportation services and in emergencies like wireless search and disaster response. These applications are usually associated with stringent quality-of-information (QoI) requirements like throughput and age-of-information (AoI), which can be further guaranteed by using unmanned aerial vehicles (UAVs) as aerial base stations (BSs) to compensate the existing 5G infrastructures. In this paper, we consider a new QoI-aware mobile crowdsensing (MCS) campaign by UAVs which move around and collect data from mobile users wearing metaverse devices. Specifically, we propose 'MetaCS', a multi-agent deep reinforcement learning (MADRL) framework with improvements on a Transformer-based user mobility prediction module between regions and a relational graph learning mechanism to enable the selection of most informative partners to communicate for each UAV. Extensive results and trajectory visualizations on three real mobility datasets in NCSU, KAIST and Beijing show that MetaCS consistently outperforms six baselines in terms of overall QoI index, when varying different numbers of UAVs, throughput requirement, and AoI threshold.","Mobile crowdsensing for metaverse, quality-of-information, user behavior modeling, multi-agent deep reinforcement learning","Yuxiao Ye, Hao Wang, Chi Harold Liu, Zipeng Dai, Guozheng Li, Guoren Wang, Jian Tang",2023,Journal Article,IEEE Journal On Selected Areas In Communications,Infrastructure,Artificial Intelligence,Other,Network Infrastructure,Reinforcement Learning,Quantitative Metrics,Quantitative,Models,Multi-Agent Interaction,Validation Environment
45,Resource Allocation and QoE Maximization in Aerial MEC-empowered Metaverse Service: A CCM-Multi-agent DRL approach,"The integration of Mobile Edge Computing (MEC) with aerial platforms introduces novel potential for the Metaverse world by providing low-latency and highly reliable computing and communication services at the network edge. Nevertheless, this integration presents critical challenges, such as low Quality of Experience (QoE) due to the dynamic nature of aerial platforms, high resource demands, and the requirements for real-time data processing in the Metaverse environment. To address these challenges, we propose a Combinatorial Client-Master Multiagent Deep Reinforcement Learning (CCM-MADRL) based joint resource allocation and QoE maximization framework to enable intelligent real-time decision-making in aerial MEC enabled Metaverse services. We form a collaborative ecosystem where agents are designed to represent both Metaverse service providers and aerial platforms to promote fairness and efficiency in resource allocation, as well as optimize service delivery. By incorporating CCM, our approach considers diverse metrics, such as latency, reliability, meta-distance, and energy efficiency, to ensure a holistic optimization of Metaverse services. The MADRL approach enables adaptive decision-making, allowing the system to respond to the dynamic and unpredictable nature of Metaverse applications. Results from simulations that mimic realistic Metaverse scenarios demonstrate the effectiveness of the proposed CCM-MADRL framework in terms of improved service performance, reduced latency, cost, and virtual meta-distance, maximized average QoE utility of Metaverse users, and enhanced resource utilization compared to baseline algorithms.","CCM-MADRL, meta-distance, Metaverse, Quality of experience, Resource allocation","Abegaz Mohammed Seid, Hayla Nahom Abishu, Gordon Owusu Boateng, Aiman Erbad, Mounir Hamdi, Mohsen Guizani",2024,Conference article,IEEE Global Communications Conference (globecom),Infrastructure,Industrial Systems,Multi-agent,Learning,Reinforcement Learning,Comparative Analysis,Quantitative,Resource Management,Dynamic Adaptability,Validation Environment
46,Reputation-Based Trust Assessment of Transacting Service Components,"We witness a paradigm shift where entities such as software applications, people, businesses and service providers increasingly interact in virtual rather than physical environments, such as social media, social commerce, and the metaverses. A key issue that emerges in such environments is how one entity can trust another. Here, the concept of trust is considered as a meta-requirement, that is, the level of belief a service requestor has that a service provider will provide the service in a way that meets the requestor's expectations. We refer to the service offering entities as service providers (SPs) and the service requesting entities as service clients (SCs). In this paper, we propose a technique that allows for evaluating trust and assigning reputation to various service providers by considering first their ability to fulfill their clients' expectations or policies, and second the reputation other service clients have, when acting as recommenders for the aforementioned service providers. In this work, service clients and service providers are considered as virtual entities that coordinate with each other, and may include physical users, avatars, micro-services, software agents, smart contracts or any other distributed inter-networked resource, without making any assumptions as to what a service client or a service provider entity is as long as it participates in an interaction.","Distributed Components, Service-oriented Computing, Trust, Reputation Systems, Multi-agent Systems, Metaverse","Konstantinos Tsiounis, Kostas Kontogiannis",2023,Conference Paper,IEEE Conference On Computer Software And Applications (compsac),Simulation,Artificial Intelligence,Other,Digital Twin,Game Theory,Case Studies,Quantitative,Metaverse,Dynamic Adaptability,Generalizability
47,Resource Allocation for Metaverse Experience Optimization: A Multi-Objective Multi-Agent Evolutionary Reinforcement Learning Approach,"In the Metaverse, real-time, concurrent services such as virtual classrooms and immersive gaming require local graphic rendering to maintain low latency. However, the limited processing power and battery capacity of user devices make it challenging to balance Quality of Experience (QoE) and terminal energy consumption. In this paper, we investigate a multi-objective optimization problem (MOP) regarding power control and rendering capacity allocation by formulating it as a multi-objective optimization problem. This problem aims to minimize energy consumption while maximizing Meta-Immersion (MI), a metric that integrates objective network performance with subjective user perception. To solve this problem, we propose a Multi-Objective Multi-Agent Evolutionary Reinforcement Learning with User-Object-Attention (M2ERL-UOA) algorithm. The algorithm employs a prediction-driven evolutionary learning mechanism for multi-agents, coupled with optimized rendering capacity decisions for virtual objects. The algorithm can yield a superior Pareto front that attains the Nash equilibrium. Simulation results demonstrate that the proposed algorithm can generate Pareto fronts, effectively adapts to dynamic user preferences, and significantly reduces decision-making time compared to several benchmarks.","Metaverse experience, multi-objective optimization, resource allocation, Meta-Immersion, energy consumption","Lei Feng, Xiaoyi Jiang, Yao Sun, Dusit Niyato, Yu Zhou, Shiyi Gu, Zhixiang Yang, Yang Yang, Fanqin Zhou",2025,Journal article,IEEE Transactions On Mobile Computing,Infrastructure,Industrial Systems,Other,Transportation,Reinforcement Learning,Comparative Analysis,Quantitative,Resource Management,Dynamic Adaptability,Validation Environment
